1732671932.678130 server started (2053): version 3.5a, socket /private/tmp/tmux-501/default, protocol 8
1732671932.678163 on Darwin 24.1.0 Darwin Kernel Version 24.1.0: Thu Oct 10 21:03:11 PDT 2024; root:xnu-11215.41.3~2/RELEASE_ARM64_T6020
1732671932.678170 using libevent 2.1.12-stable select
1732671932.678180 using utf8proc 2.9.0
1732671932.678186 using ncurses 6.5 20240427
1732671932.697643 args_parse: 16 = Kill (type STRING)
1732671932.697646 args_parse: 17 = X (type STRING)
1732671932.697649 args_parse: 18 = kill-window (type COMMANDS)
1732671932.697652 args_parse: 19 = Respawn (type STRING)
1732671932.697655 args_parse: 20 = R (type STRING)
1732671932.697658 args_parse: 21 = respawn-window -k (type COMMANDS)
1732671932.697661 args_parse: 22 = #{?pane_marked,Unmark,Mark} (type STRING)
1732671932.697664 args_parse: 23 = m (type STRING)
1732671932.697667 args_parse: 24 = select-pane -m (type COMMANDS)
1732671932.697670 args_parse: 25 = Rename (type STRING)
1732671932.697673 args_parse: 26 = n (type STRING)
1732671932.697680 args_parse: 27 = command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } (type COMMANDS)
1732671932.697683 args_parse: 28 =  (type STRING)
1732671932.697685 args_parse: 29 = New After (type STRING)
1732671932.697688 args_parse: 30 = w (type STRING)
1732671932.697692 args_parse: 31 = new-window -a (type COMMANDS)
1732671932.697694 args_parse: 32 = New At End (type STRING)
1732671932.697697 args_parse: 33 = W (type STRING)
1732671932.697700 args_parse: 34 = new-window (type COMMANDS)
1732671932.697741 cmd_parse_build_commands: display-menu -T "#[align=centre]#{window_index}:#{window_name}" -t = -x W -y W "#{?#{>:#{session_windows},1},,-}Swap Left" l { swap-window -t :-1 } "#{?#{>:#{session_windows},1},,-}Swap Right" r { swap-window -t :+1 } "#{?pane_marked_set,,-}Swap Marked" s { swap-window } '' Kill X { kill-window } Respawn R { respawn-window -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } Rename n { command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } } '' "New After" w { new-window -a } "New At End" W { new-window }
1732671932.697743 args_parse_flags: next -n
1732671932.697746 args_parse_flags: -n
1732671932.697748 args_parse_flags: next M-MouseDown3Status
1732671932.697751 args_parse: flags end at 2 of 4
1732671932.697754 args_parse: 2 = M-MouseDown3Status (type STRING)
1732671932.697793 args_parse: 3 = display-menu -T "#[align=centre]#{window_index}:#{window_name}" -t = -x W -y W "#{?#{>:#{session_windows},1},,-}Swap Left" l { swap-window -t :-1 } "#{?#{>:#{session_windows},1},,-}Swap Right" r { swap-window -t :+1 } "#{?pane_marked_set,,-}Swap Marked" s { swap-window } '' Kill X { kill-window } Respawn R { respawn-window -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } Rename n { command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } } '' "New After" w { new-window -a } "New At End" W { new-window } (type COMMANDS)
1732671932.697833 cmd_parse_build_commands: bind-key -n M-MouseDown3Status { display-menu -T "#[align=centre]#{window_index}:#{window_name}" -t = -x W -y W "#{?#{>:#{session_windows},1},,-}Swap Left" l { swap-window -t :-1 } "#{?#{>:#{session_windows},1},,-}Swap Right" r { swap-window -t :+1 } "#{?pane_marked_set,,-}Swap Marked" s { swap-window } '' Kill X { kill-window } Respawn R { respawn-window -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } Rename n { command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } } '' "New After" w { new-window -a } "New At End" W { new-window } }
1732671932.697845 cmdq_get_command: [bind-key/0x1556226d0] group 1086
1732671932.697848 cmdq_append <global>: [bind-key/0x1556226d0]
1732671932.697851 yylex_token: end at WS
1732671932.697853 yylex_token: bind
1732671932.697856 yylex_token: end at WS
1732671932.697858 yylex_token: -n
1732671932.697861 yylex_token: end at WS
1732671932.697863 yylex_token: MouseDown3Pane
1732671932.697866 yylex_token: end at WS
1732671932.697868 yylex_token: if
1732671932.697871 yylex_token: end at WS
1732671932.697873 yylex_token: -Ft=
1732671932.697879 yylex_token: end at WS
1732671932.697882 yylex_token: #{||:#{mouse_any_flag},#{&&:#{pane_in_mode},#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}}}
1732671932.697885 yylex_token: end at WS
1732671932.697887 yylex_token: select-pane
1732671932.697890 yylex_token: end at ;
1732671932.697892 yylex_token: -t=
1732671932.697895 yylex_token: end at WS
1732671932.697897 yylex_token: send
1732671932.697899 yylex_token: end at WS
1732671932.697902 yylex_token: -M
1732671932.697905 yylex_token: end at WS
1732671932.697907 yylex_token: display-menu
1732671932.697910 yylex_token: end at WS
1732671932.697912 yylex_token: -t=
1732671932.697914 yylex_token: end at WS
1732671932.697917 yylex_token: -xM
1732671932.697919 yylex_token: end at WS
1732671932.697921 yylex_token: -yM
1732671932.697924 yylex_token: end at WS
1732671932.697926 yylex_token: -T
1732671932.697930 yylex_token: end at WS
1732671932.697932 yylex_token: #[align=centre]#{pane_index} (#{pane_id})
1732671932.697937 yylex_token: end at WS
1732671932.697939 yylex_token: #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}
1732671932.697942 yylex_token: end at WS
1732671932.697944 yylex_token: <
1732671932.697946 yylex_token: end at WS
1732671932.697949 yylex_token: send
1732671932.697951 yylex_token: end at WS
1732671932.697953 yylex_token: -X
1732671932.697956 yylex_token: end at }
1732671932.697958 yylex_token: history-top
1732671932.697963 yylex_token: end at WS
1732671932.697966 yylex_token: #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,}
1732671932.697968 yylex_token: end at WS
1732671932.697970 yylex_token: >
1732671932.697973 yylex_token: end at WS
1732671932.697975 yylex_token: send
1732671932.697977 yylex_token: end at WS
1732671932.697980 yylex_token: -X
1732671932.697983 yylex_token: end at }
1732671932.697985 yylex_token: history-bottom
1732671932.697987 yylex_token: end at WS
1732671932.697990 yylex_token: 
1732671932.697994 yylex_token: end at WS
1732671932.697997 yylex_token: #{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},}
1732671932.697999 yylex_token: end at WS
1732671932.698002 yylex_token: C-r
1732671932.698004 yylex_token: end at WS
1732671932.698007 yylex_token: if
1732671932.698009 yylex_token: end at WS
1732671932.698011 yylex_token: -F
1732671932.698015 yylex_token: end at WS
1732671932.698018 yylex_token: #{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}
1732671932.698029 yylex_token: end at ;
1732671932.698031 yylex_token: copy-mode -t=
1732671932.698034 yylex_token: end at WS
1732671932.698037 yylex_token: send
1732671932.698039 yylex_token: end at WS
1732671932.698041 yylex_token: -Xt=
1732671932.698044 yylex_token: end at WS
1732671932.698047 yylex_token: search-backward
1732671932.698050 yylex_token: end at }
1732671932.698052 yylex_token: #{q:mouse_word}
1732671932.698057 yylex_token: end at WS
1732671932.698059 yylex_token: #{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},}
1732671932.698062 yylex_token: end at WS
1732671932.698064 yylex_token: C-y
1732671932.698067 yylex_token: end at WS
1732671932.698070 yylex_token: copy-mode
1732671932.698072 yylex_token: end at ;
1732671932.698074 yylex_token: -q
1732671932.698077 yylex_token: end at WS
1732671932.698079 yylex_token: send-keys
1732671932.698082 yylex_token: end at WS
1732671932.698084 yylex_token: -l
1732671932.698087 yylex_token: end at WS
1732671932.698089 yylex_token: --
1732671932.698092 yylex_token: end at }
1732671932.698094 yylex_token: #{q:mouse_word}
1732671932.698099 yylex_token: end at WS
1732671932.698102 yylex_token: #{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},}
1732671932.698104 yylex_token: end at WS
1732671932.698106 yylex_token: c
1732671932.698109 yylex_token: end at WS
1732671932.698112 yylex_token: copy-mode
1732671932.698114 yylex_token: end at ;
1732671932.698116 yylex_token: -q
1732671932.698119 yylex_token: end at WS
1732671932.698122 yylex_token: set-buffer
1732671932.698124 yylex_token: end at WS
1732671932.698126 yylex_token: --
1732671932.698129 yylex_token: end at }
1732671932.698132 yylex_token: #{q:mouse_word}
1732671932.698135 yylex_token: end at WS
1732671932.698138 yylex_token: #{?mouse_line,Copy Line,}
1732671932.698140 yylex_token: end at WS
1732671932.698143 yylex_token: l
1732671932.698145 yylex_token: end at WS
1732671932.698148 yylex_token: copy-mode
1732671932.698151 yylex_token: end at ;
1732671932.698153 yylex_token: -q
1732671932.698157 yylex_token: end at WS
1732671932.698160 yylex_token: set-buffer
1732671932.698162 yylex_token: end at WS
1732671932.698165 yylex_token: --
1732671932.698167 yylex_token: end at }
1732671932.698170 yylex_token: #{q:mouse_line}
1732671932.698172 yylex_token: end at WS
1732671932.698175 yylex_token: 
1732671932.698180 yylex_token: end at WS
1732671932.698182 yylex_token: #{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},}
1732671932.698185 yylex_token: end at WS
1732671932.698187 yylex_token: C-h
1732671932.698190 yylex_token: end at WS
1732671932.698192 yylex_token: copy-mode
1732671932.698194 yylex_token: end at ;
1732671932.698197 yylex_token: -q
1732671932.698200 yylex_token: end at WS
1732671932.698202 yylex_token: send-keys
1732671932.698204 yylex_token: end at WS
1732671932.698207 yylex_token: -l
1732671932.698209 yylex_token: end at WS
1732671932.698211 yylex_token: --
1732671932.698215 yylex_token: end at }
1732671932.698218 yylex_token: #{q:mouse_hyperlink}
1732671932.698224 yylex_token: end at WS
1732671932.698227 yylex_token: #{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},}
1732671932.698229 yylex_token: end at WS
1732671932.698232 yylex_token: h
1732671932.698235 yylex_token: end at WS
1732671932.698237 yylex_token: copy-mode
1732671932.698239 yylex_token: end at ;
1732671932.698242 yylex_token: -q
1732671932.698245 yylex_token: end at WS
1732671932.698247 yylex_token: set-buffer
1732671932.698250 yylex_token: end at WS
1732671932.698252 yylex_token: --
1732671932.698255 yylex_token: end at }
1732671932.698257 yylex_token: #{q:mouse_hyperlink}
1732671932.698260 yylex_token: end at WS
1732671932.698262 yylex_token: 
1732671932.698265 yylex_token: end at WS
1732671932.698268 yylex_token: Horizontal Split
1732671932.698270 yylex_token: end at WS
1732671932.698273 yylex_token: h
1732671932.698276 yylex_token: end at WS
1732671932.698278 yylex_token: split-window
1732671932.698280 yylex_token: end at }
1732671932.698283 yylex_token: -h
1732671932.698286 yylex_token: end at WS
1732671932.698291 yylex_token: Vertical Split
1732671932.698294 yylex_token: end at WS
1732671932.698296 yylex_token: v
1732671932.698299 yylex_token: end at WS
1732671932.698301 yylex_token: split-window
1732671932.698304 yylex_token: end at }
1732671932.698306 yylex_token: -v
1732671932.698309 yylex_token: end at WS
1732671932.698311 yylex_token: 
1732671932.698315 yylex_token: end at WS
1732671932.698317 yylex_token: #{?#{>:#{window_panes},1},,-}Swap Up
1732671932.698320 yylex_token: end at WS
1732671932.698322 yylex_token: u
1732671932.698325 yylex_token: end at WS
1732671932.698327 yylex_token: swap-pane
1732671932.698330 yylex_token: end at }
1732671932.698332 yylex_token: -U
1732671932.698336 yylex_token: end at WS
1732671932.698339 yylex_token: #{?#{>:#{window_panes},1},,-}Swap Down
1732671932.698341 yylex_token: end at WS
1732671932.698343 yylex_token: d
1732671932.698346 yylex_token: end at WS
1732671932.698348 yylex_token: swap-pane
1732671932.698351 yylex_token: end at }
1732671932.698353 yylex_token: -D
1732671932.698357 yylex_token: end at WS
1732671932.698359 yylex_token: #{?pane_marked_set,,-}Swap Marked
1732671932.698362 yylex_token: end at WS
1732671932.698364 yylex_token: s
1732671932.698367 yylex_token: end at }
1732671932.698369 yylex_token: swap-pane
1732671932.698372 yylex_token: end at WS
1732671932.698374 yylex_token: 
1732671932.698377 yylex_token: end at WS
1732671932.698379 yylex_token: Kill
1732671932.698381 yylex_token: end at WS
1732671932.698384 yylex_token: X
1732671932.698386 yylex_token: end at }
1732671932.698389 yylex_token: kill-pane
1732671932.698392 yylex_token: end at WS
1732671932.698394 yylex_token: Respawn
1732671932.698396 yylex_token: end at WS
1732671932.698399 yylex_token: R
1732671932.698403 yylex_token: end at WS
1732671932.698405 yylex_token: respawn-pane
1732671932.698408 yylex_token: end at }
1732671932.698410 yylex_token: -k
1732671932.698414 yylex_token: end at WS
1732671932.698416 yylex_token: #{?pane_marked,Unmark,Mark}
1732671932.698418 yylex_token: end at WS
1732671932.698421 yylex_token: m
1732671932.698424 yylex_token: end at WS
1732671932.698426 yylex_token: select-pane
1732671932.698428 yylex_token: end at }
1732671932.698431 yylex_token: -m
1732671932.698436 yylex_token: end at WS
1732671932.698438 yylex_token: #{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom}
1732671932.698441 yylex_token: end at WS
1732671932.698443 yylex_token: z
1732671932.698446 yylex_token: end at WS
1732671932.698448 yylex_token: resize-pane
1732671932.698451 yylex_token: end at }
1732671932.698453 yylex_token: -Z
1732671932.698457 cmd_parse_build_commands 0:0: bind
1732671932.698460 cmd_parse_build_commands 0:1: -n
1732671932.698462 cmd_parse_build_commands 0:2: MouseDown3Pane
1732671932.698465 cmd_parse_build_commands 0:3 0:0: if
1732671932.698467 cmd_parse_build_commands 0:3 0:1: -Ft=
1732671932.698471 cmd_parse_build_commands 0:3 0:2: #{||:#{mouse_any_flag},#{&&:#{pane_in_mode},#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}}}
1732671932.698473 cmd_parse_build_commands 0:3 0:3 0:0: select-pane
1732671932.698476 cmd_parse_build_commands 0:3 0:3 0:1: -t=
1732671932.698478 cmd_parse_build_commands 0:3 0:3 1:0: send
1732671932.698481 cmd_parse_build_commands 0:3 0:3 1:1: -M
1732671932.698484 cmd_parse_build_commands 0:3 0:4 0:0: display-menu
1732671932.698486 cmd_parse_build_commands 0:3 0:4 0:1: -t=
1732671932.698489 cmd_parse_build_commands 0:3 0:4 0:2: -xM
1732671932.698491 cmd_parse_build_commands 0:3 0:4 0:3: -yM
1732671932.698493 cmd_parse_build_commands 0:3 0:4 0:4: -T
1732671932.698496 cmd_parse_build_commands 0:3 0:4 0:5: #[align=centre]#{pane_index} (#{pane_id})
1732671932.698499 cmd_parse_build_commands 0:3 0:4 0:6: #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}
1732671932.698502 cmd_parse_build_commands 0:3 0:4 0:7: <
1732671932.698504 cmd_parse_build_commands 0:3 0:4 0:8 0:0: send
1732671932.698507 cmd_parse_build_commands 0:3 0:4 0:8 0:1: -X
1732671932.698509 cmd_parse_build_commands 0:3 0:4 0:8 0:2: history-top
1732671932.698512 cmd_parse_build_commands 0:3 0:4 0:9: #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,}
1732671932.698518 cmd_parse_build_commands 0:3 0:4 0:10: >
1732671932.698520 cmd_parse_build_commands 0:3 0:4 0:11 0:0: send
1732671932.698523 cmd_parse_build_commands 0:3 0:4 0:11 0:1: -X
1732671932.698525 cmd_parse_build_commands 0:3 0:4 0:11 0:2: history-bottom
1732671932.698528 cmd_parse_build_commands 0:3 0:4 0:12: 
1732671932.698531 cmd_parse_build_commands 0:3 0:4 0:13: #{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},}
1732671932.698534 cmd_parse_build_commands 0:3 0:4 0:14: C-r
1732671932.698536 cmd_parse_build_commands 0:3 0:4 0:15 0:0: if
1732671932.698539 cmd_parse_build_commands 0:3 0:4 0:15 0:1: -F
1732671932.698541 cmd_parse_build_commands 0:3 0:4 0:15 0:2: #{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}
1732671932.698544 cmd_parse_build_commands 0:3 0:4 0:15 0:3: copy-mode -t=
1732671932.698546 cmd_parse_build_commands 0:3 0:4 0:15 1:0: send
1732671932.698549 cmd_parse_build_commands 0:3 0:4 0:15 1:1: -Xt=
1732671932.698551 cmd_parse_build_commands 0:3 0:4 0:15 1:2: search-backward
1732671932.698554 cmd_parse_build_commands 0:3 0:4 0:15 1:3: #{q:mouse_word}
1732671932.698557 cmd_parse_build_commands 0:3 0:4 0:16: #{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},}
1732671932.698559 cmd_parse_build_commands 0:3 0:4 0:17: C-y
1732671932.698562 cmd_parse_build_commands 0:3 0:4 0:18 0:0: copy-mode
1732671932.698565 cmd_parse_build_commands 0:3 0:4 0:18 0:1: -q
1732671932.698567 cmd_parse_build_commands 0:3 0:4 0:18 1:0: send-keys
1732671932.698569 cmd_parse_build_commands 0:3 0:4 0:18 1:1: -l
1732671932.698572 cmd_parse_build_commands 0:3 0:4 0:18 1:2: --
1732671932.698574 cmd_parse_build_commands 0:3 0:4 0:18 1:3: #{q:mouse_word}
1732671932.698577 cmd_parse_build_commands 0:3 0:4 0:19: #{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},}
1732671932.698580 cmd_parse_build_commands 0:3 0:4 0:20: c
1732671932.698582 cmd_parse_build_commands 0:3 0:4 0:21 0:0: copy-mode
1732671932.698585 cmd_parse_build_commands 0:3 0:4 0:21 0:1: -q
1732671932.698587 cmd_parse_build_commands 0:3 0:4 0:21 1:0: set-buffer
1732671932.698589 cmd_parse_build_commands 0:3 0:4 0:21 1:1: --
1732671932.698592 cmd_parse_build_commands 0:3 0:4 0:21 1:2: #{q:mouse_word}
1732671932.698595 cmd_parse_build_commands 0:3 0:4 0:22: #{?mouse_line,Copy Line,}
1732671932.698597 cmd_parse_build_commands 0:3 0:4 0:23: l
1732671932.698600 cmd_parse_build_commands 0:3 0:4 0:24 0:0: copy-mode
1732671932.698602 cmd_parse_build_commands 0:3 0:4 0:24 0:1: -q
1732671932.698605 cmd_parse_build_commands 0:3 0:4 0:24 1:0: set-buffer
1732671932.698607 cmd_parse_build_commands 0:3 0:4 0:24 1:1: --
1732671932.698610 cmd_parse_build_commands 0:3 0:4 0:24 1:2: #{q:mouse_line}
1732671932.698612 cmd_parse_build_commands 0:3 0:4 0:25: 
1732671932.698615 cmd_parse_build_commands 0:3 0:4 0:26: #{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},}
1732671932.698617 cmd_parse_build_commands 0:3 0:4 0:27: C-h
1732671932.698620 cmd_parse_build_commands 0:3 0:4 0:28 0:0: copy-mode
1732671932.698622 cmd_parse_build_commands 0:3 0:4 0:28 0:1: -q
1732671932.698625 cmd_parse_build_commands 0:3 0:4 0:28 1:0: send-keys
1732671932.698627 cmd_parse_build_commands 0:3 0:4 0:28 1:1: -l
1732671932.698630 cmd_parse_build_commands 0:3 0:4 0:28 1:2: --
1732671932.698632 cmd_parse_build_commands 0:3 0:4 0:28 1:3: #{q:mouse_hyperlink}
1732671932.698635 cmd_parse_build_commands 0:3 0:4 0:29: #{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},}
1732671932.698638 cmd_parse_build_commands 0:3 0:4 0:30: h
1732671932.698640 cmd_parse_build_commands 0:3 0:4 0:31 0:0: copy-mode
1732671932.698643 cmd_parse_build_commands 0:3 0:4 0:31 0:1: -q
1732671932.698645 cmd_parse_build_commands 0:3 0:4 0:31 1:0: set-buffer
1732671932.698647 cmd_parse_build_commands 0:3 0:4 0:31 1:1: --
1732671932.698650 cmd_parse_build_commands 0:3 0:4 0:31 1:2: #{q:mouse_hyperlink}
1732671932.698652 cmd_parse_build_commands 0:3 0:4 0:32: 
1732671932.698655 cmd_parse_build_commands 0:3 0:4 0:33: Horizontal Split
1732671932.698657 cmd_parse_build_commands 0:3 0:4 0:34: h
1732671932.698663 cmd_parse_build_commands 0:3 0:4 0:35 0:0: split-window
1732671932.698666 cmd_parse_build_commands 0:3 0:4 0:35 0:1: -h
1732671932.698668 cmd_parse_build_commands 0:3 0:4 0:36: Vertical Split
1732671932.698671 cmd_parse_build_commands 0:3 0:4 0:37: v
1732671932.698673 cmd_parse_build_commands 0:3 0:4 0:38 0:0: split-window
1732671932.698676 cmd_parse_build_commands 0:3 0:4 0:38 0:1: -v
1732671932.698678 cmd_parse_build_commands 0:3 0:4 0:39: 
1732671932.698681 cmd_parse_build_commands 0:3 0:4 0:40: #{?#{>:#{window_panes},1},,-}Swap Up
1732671932.698683 cmd_parse_build_commands 0:3 0:4 0:41: u
1732671932.698686 cmd_parse_build_commands 0:3 0:4 0:42 0:0: swap-pane
1732671932.698688 cmd_parse_build_commands 0:3 0:4 0:42 0:1: -U
1732671932.698691 cmd_parse_build_commands 0:3 0:4 0:43: #{?#{>:#{window_panes},1},,-}Swap Down
1732671932.698693 cmd_parse_build_commands 0:3 0:4 0:44: d
1732671932.698696 cmd_parse_build_commands 0:3 0:4 0:45 0:0: swap-pane
1732671932.698698 cmd_parse_build_commands 0:3 0:4 0:45 0:1: -D
1732671932.698701 cmd_parse_build_commands 0:3 0:4 0:46: #{?pane_marked_set,,-}Swap Marked
1732671932.698703 cmd_parse_build_commands 0:3 0:4 0:47: s
1732671932.698706 cmd_parse_build_commands 0:3 0:4 0:48 0:0: swap-pane
1732671932.698708 cmd_parse_build_commands 0:3 0:4 0:49: 
1732671932.698711 cmd_parse_build_commands 0:3 0:4 0:50: Kill
1732671932.698713 cmd_parse_build_commands 0:3 0:4 0:51: X
1732671932.698716 cmd_parse_build_commands 0:3 0:4 0:52 0:0: kill-pane
1732671932.698719 cmd_parse_build_commands 0:3 0:4 0:53: Respawn
1732671932.698721 cmd_parse_build_commands 0:3 0:4 0:54: R
1732671932.698724 cmd_parse_build_commands 0:3 0:4 0:55 0:0: respawn-pane
1732671932.698726 cmd_parse_build_commands 0:3 0:4 0:55 0:1: -k
1732671932.698729 cmd_parse_build_commands 0:3 0:4 0:56: #{?pane_marked,Unmark,Mark}
1732671932.698731 cmd_parse_build_commands 0:3 0:4 0:57: m
1732671932.698734 cmd_parse_build_commands 0:3 0:4 0:58 0:0: select-pane
1732671932.698736 cmd_parse_build_commands 0:3 0:4 0:58 0:1: -m
1732671932.698739 cmd_parse_build_commands 0:3 0:4 0:59: #{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom}
1732671932.698742 cmd_parse_build_commands 0:3 0:4 0:60: z
1732671932.698744 cmd_parse_build_commands 0:3 0:4 0:61 0:0: resize-pane
1732671932.698747 cmd_parse_build_commands 0:3 0:4 0:61 0:1: -Z
1732671932.698750 cmd_parse_build_commands 0:0: if
1732671932.698753 cmd_parse_build_commands 0:1: -Ft=
1732671932.698756 cmd_parse_build_commands 0:2: #{||:#{mouse_any_flag},#{&&:#{pane_in_mode},#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}}}
1732671932.698758 cmd_parse_build_commands 0:3 0:0: select-pane
1732671932.698761 cmd_parse_build_commands 0:3 0:1: -t=
1732671932.698763 cmd_parse_build_commands 0:3 1:0: send
1732671932.698766 cmd_parse_build_commands 0:3 1:1: -M
1732671932.698768 cmd_parse_build_commands 0:4 0:0: display-menu
1732671932.698771 cmd_parse_build_commands 0:4 0:1: -t=
1732671932.698773 cmd_parse_build_commands 0:4 0:2: -xM
1732671932.698776 cmd_parse_build_commands 0:4 0:3: -yM
1732671932.698778 cmd_parse_build_commands 0:4 0:4: -T
1732671932.698781 cmd_parse_build_commands 0:4 0:5: #[align=centre]#{pane_index} (#{pane_id})
1732671932.698783 cmd_parse_build_commands 0:4 0:6: #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}
1732671932.698786 cmd_parse_build_commands 0:4 0:7: <
1732671932.698789 cmd_parse_build_commands 0:4 0:8 0:0: send
1732671932.698791 cmd_parse_build_commands 0:4 0:8 0:1: -X
1732671932.698793 cmd_parse_build_commands 0:4 0:8 0:2: history-top
1732671932.698796 cmd_parse_build_commands 0:4 0:9: #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,}
1732671932.698799 cmd_parse_build_commands 0:4 0:10: >
1732671932.698801 cmd_parse_build_commands 0:4 0:11 0:0: send
1732671932.698804 cmd_parse_build_commands 0:4 0:11 0:1: -X
1732671932.698806 cmd_parse_build_commands 0:4 0:11 0:2: history-bottom
1732671932.698809 cmd_parse_build_commands 0:4 0:12: 
1732671932.698812 cmd_parse_build_commands 0:4 0:13: #{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},}
1732671932.698821 cmd_parse_build_commands 0:4 0:14: C-r
1732671932.698824 cmd_parse_build_commands 0:4 0:15 0:0: if
1732671932.698827 cmd_parse_build_commands 0:4 0:15 0:1: -F
1732671932.698829 cmd_parse_build_commands 0:4 0:15 0:2: #{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}
1732671932.698832 cmd_parse_build_commands 0:4 0:15 0:3: copy-mode -t=
1732671932.698835 cmd_parse_build_commands 0:4 0:15 1:0: send
1732671932.698837 cmd_parse_build_commands 0:4 0:15 1:1: -Xt=
1732671932.698839 cmd_parse_build_commands 0:4 0:15 1:2: search-backward
1732671932.698842 cmd_parse_build_commands 0:4 0:15 1:3: #{q:mouse_word}
1732671932.698845 cmd_parse_build_commands 0:4 0:16: #{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},}
1732671932.698847 cmd_parse_build_commands 0:4 0:17: C-y
1732671932.698850 cmd_parse_build_commands 0:4 0:18 0:0: copy-mode
1732671932.698852 cmd_parse_build_commands 0:4 0:18 0:1: -q
1732671932.698855 cmd_parse_build_commands 0:4 0:18 1:0: send-keys
1732671932.698857 cmd_parse_build_commands 0:4 0:18 1:1: -l
1732671932.698859 cmd_parse_build_commands 0:4 0:18 1:2: --
1732671932.698862 cmd_parse_build_commands 0:4 0:18 1:3: #{q:mouse_word}
1732671932.698865 cmd_parse_build_commands 0:4 0:19: #{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},}
1732671932.698867 cmd_parse_build_commands 0:4 0:20: c
1732671932.698870 cmd_parse_build_commands 0:4 0:21 0:0: copy-mode
1732671932.698872 cmd_parse_build_commands 0:4 0:21 0:1: -q
1732671932.698875 cmd_parse_build_commands 0:4 0:21 1:0: set-buffer
1732671932.698877 cmd_parse_build_commands 0:4 0:21 1:1: --
1732671932.698880 cmd_parse_build_commands 0:4 0:21 1:2: #{q:mouse_word}
1732671932.698882 cmd_parse_build_commands 0:4 0:22: #{?mouse_line,Copy Line,}
1732671932.698885 cmd_parse_build_commands 0:4 0:23: l
1732671932.698887 cmd_parse_build_commands 0:4 0:24 0:0: copy-mode
1732671932.698890 cmd_parse_build_commands 0:4 0:24 0:1: -q
1732671932.698892 cmd_parse_build_commands 0:4 0:24 1:0: set-buffer
1732671932.698894 cmd_parse_build_commands 0:4 0:24 1:1: --
1732671932.698897 cmd_parse_build_commands 0:4 0:24 1:2: #{q:mouse_line}
1732671932.698899 cmd_parse_build_commands 0:4 0:25: 
1732671932.698902 cmd_parse_build_commands 0:4 0:26: #{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},}
1732671932.698904 cmd_parse_build_commands 0:4 0:27: C-h
1732671932.698907 cmd_parse_build_commands 0:4 0:28 0:0: copy-mode
1732671932.698909 cmd_parse_build_commands 0:4 0:28 0:1: -q
1732671932.698912 cmd_parse_build_commands 0:4 0:28 1:0: send-keys
1732671932.698914 cmd_parse_build_commands 0:4 0:28 1:1: -l
1732671932.698917 cmd_parse_build_commands 0:4 0:28 1:2: --
1732671932.698919 cmd_parse_build_commands 0:4 0:28 1:3: #{q:mouse_hyperlink}
1732671932.698922 cmd_parse_build_commands 0:4 0:29: #{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},}
1732671932.698924 cmd_parse_build_commands 0:4 0:30: h
1732671932.698927 cmd_parse_build_commands 0:4 0:31 0:0: copy-mode
1732671932.698929 cmd_parse_build_commands 0:4 0:31 0:1: -q
1732671932.698932 cmd_parse_build_commands 0:4 0:31 1:0: set-buffer
1732671932.698934 cmd_parse_build_commands 0:4 0:31 1:1: --
